model,group,variable,horizon_quarters,rmse,baseline_rmse,relative_rmse_pct
mango_rmse,+0 months,PCE,2,0.7357480593044247,0.7436083882429695,-1.0570522149592145
mango_rmse,+0 months,PCE,3,0.7102433680675893,0.7290289693267652,-2.5767976376197836
mango_rmse,+0 months,PCE,4,0.6990481739039178,0.7164353387124202,-2.4268993821201783
mango_rmse,+0 months,PCE,5,0.6693809338015225,0.67891024187113,-1.4036182520010272
mango_rmse,+0 months,PCE,6,0.6710908571994776,0.6671585939114887,0.589404576943903
mango_rmse,+0 months,PCE,7,0.6575332468396193,0.6476408568171853,1.5274499621672928
mango_rmse,+0 months,PCE,8,0.6139635408295466,0.6144443326707814,-0.07824823432659712
mango_rmse,+0 months,SP500,1,7.611812049043407,7.818826817761284,-2.647644890249023
mango_rmse,+0 months,SP500,2,8.27630404422436,8.304025384692403,-0.3338301508464091
mango_rmse,+0 months,SP500,3,8.188815793567652,8.219404372296896,-0.37215079516395666
mango_rmse,+0 months,SP500,4,8.027465842157348,8.127171656666746,-1.2268205806580907
mango_rmse,+0 months,SP500,5,8.011981376200968,8.092601039895037,-0.9962144840284217
mango_rmse,+0 months,SP500,6,7.867782629252053,7.961108731228272,-1.1722751833565284
mango_rmse,+0 months,SP500,7,8.075673496966544,8.115187729734362,-0.48691705089010173
mango_rmse,+0 months,SP500,8,7.7960150159843025,7.9814549210293215,-2.3233847322300476
mango_rmse,+0 months,TB,1,0.3719727370603641,0.3770188217162717,-1.338417173163063
mango_rmse,+0 months,TB,2,0.5398869188533504,0.5652988675821892,-4.495312158951765
mango_rmse,+0 months,TB,3,0.6668683713457833,0.7073713140468417,-5.725839017890454
mango_rmse,+0 months,TB,4,0.7819944036948869,0.8090064525408219,-3.3389163660066097
mango_rmse,+0 months,TB,5,0.846180553967954,0.8688093422148154,-2.604574691747088
mango_rmse,+0 months,TB,6,0.8890617910317028,0.8961681530779064,-0.792971946369294
mango_rmse,+0 months,TB,7,0.9380712022218308,0.9267241940373215,1.2244212741522873
mango_rmse,+0 months,TB,8,1.0620629341495333,1.0774781703654615,-1.4306773575467921
mango_rmse,+0 months,UNR,1,0.3378186652952473,0.27193943326699843,24.225700273327632
mango_rmse,+0 months,UNR,2,0.6623256490462566,0.566957344915496,16.821072164604388
mango_rmse,+0 months,UNR,3,0.9721190554564111,0.8977799144672666,8.28033015566589
mango_rmse,+0 months,UNR,4,1.256365207317496,1.2125911784986854,3.6099577165823913
mango_rmse,+0 months,UNR,5,1.5038964228251415,1.4760235568983675,1.888375412201715
mango_rmse,+0 months,UNR,6,1.7134750533691394,1.6928406818393247,1.2189198754010826
mango_rmse,+0 months,UNR,7,1.899871932657746,1.8814162331938513,0.9809471789538404
mango_rmse,+0 months,UNR,8,2.138534244402815,2.0718556557774104,3.218302802102544
mango_rmse,+1 month,CPI,1,0.4122654629011432,0.43956615457438114,-6.210826604626191
mango_rmse,+1 month,CPI,2,0.6291732454818258,0.6261953913135059,0.4755471230910262
mango_rmse,+1 month,CPI,3,0.6322128894433995,0.6428705395689448,-1.6578221382941958
mango_rmse,+1 month,CPI,4,0.6417269907681655,0.6376120493249735,0.6453675785375173
mango_rmse,+1 month,CPI,5,0.64679006878834,0.6310185162267299,2.499380312311354
mango_rmse,+1 month,CPI,6,0.6145298579237812,0.6328621064691313,-2.8967208429699642
mango_rmse,+1 month,CPI,7,0.6757153792128687,0.6367805884655543,6.11431809520691
mango_rmse,+1 month,CPI,8,0.6829048319081326,0.638719841528975,6.917741943539288
mango_rmse,+1 month,FF,1,0.30415316783817853,0.38267703570118533,-20.51961851306971
mango_rmse,+1 month,FF,2,0.7789432379433762,0.7774466524846978,0.19250008394728083
mango_rmse,+1 month,FF,3,1.1953326950629635,1.121696635923847,6.564703573214224
mango_rmse,+1 month,FF,4,1.5785073125203068,1.4585054968010152,8.227724611425556
mango_rmse,+1 month,FF,5,1.9266435477449155,1.7698983574785332,8.856169033892302
mango_rmse,+1 month,FF,6,2.217172914091282,2.0443403842250163,8.454195358068235
mango_rmse,+1 month,FF,7,2.474386608028595,2.2714885250797505,8.932384236531455
mango_rmse,+1 month,FF,8,2.6980487677798926,2.4568353991174448,9.81805165902028
mango_rmse,+1 month,GDP,1,0.6656538740956561,0.5495453204094503,21.12811252758858
mango_rmse,+1 month,GDP,2,0.8460213360239246,0.828372969633666,2.130485546632849
mango_rmse,+1 month,GDP,3,0.8417529197603224,0.8809488885925474,-4.449289776033049
mango_rmse,+1 month,GDP,4,0.8300292272877204,0.871747707804856,-4.78561401924264
