forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
2000-08-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-09-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-10-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-11-30,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2000-12-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-01-31,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-02-28,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-03-31,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-04-30,+0 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-05-31,+1 month,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-06-30,+2 months,mango_rmse,3.0720326782891485,4.322913032339122,1.0,5.668718978152182,9.899977022915332
2001-07-31,+0 months,mango_rmse,6.72743759472604,9.632042093541791,1.0,6.477876293862563,2.493712354511735
2001-08-31,+1 month,mango_rmse,16.842978805423293,4.612218414703625,1.0,0.0968935430890271,7.7217551702104075
2001-10-31,+0 months,mango_rmse,15.667216249445291,5.597233779752715,1.0,1.506505046557498,1.953098231027792
2001-11-30,+1 month,mango_rmse,17.823725757073625,0.822563620991363,1.0,6.958939216501213,5.536840483970069
2002-01-31,+0 months,mango_rmse,0.719704925148928,1.4398320902768926,1.0,6.975476128684617,7.7829468038972935
2002-02-28,+1 month,mango_rmse,12.48696890348864,7.086160406637722,1.0,8.846678953358962,8.706349050712339
2002-04-30,+0 months,mango_rmse,18.800994939026292,0.10245500820311731,1.0,4.710684889056127,7.505267569456169
2002-05-31,+1 month,mango_rmse,6.706717387159688,8.286755682999296,1.0,6.011704228367355,1.349516504739295
2002-06-30,+2 months,mango_rmse,15.383626758954295,6.9376048471952805,1.0,2.875044192573854,6.920455393086814
2002-07-31,+0 months,mango_rmse,11.803377507018036,3.2316428310590273,1.0,8.200669019960957,1.4476882374910032
2002-08-31,+1 month,mango_rmse,0.40779284589428405,4.162543950467597,1.0,2.925798284281844,3.758503667393465
2002-09-30,+2 months,mango_rmse,2.446301139564065,1.4880811769208688,1.0,5.456388691468385,0.6115167244200984
2002-10-31,+0 months,mango_rmse,18.678135241418612,5.761548344926467,1.0,0.5683238912363493,9.101958793876861
2002-11-30,+1 month,mango_rmse,12.023237996775617,8.59949471576385,1.0,1.7088030536890948,6.015722595097292
2002-12-31,+2 months,mango_rmse,3.0464775593120645,0.5668332825444083,1.0,0.24670106732973499,4.930096189105118
