model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_rmse_random,small,FFR,7,h1q,2.0849796589295284,80
mango_rmse_random,small,FFR,7,h2q,2.0579552192601143,80
mango_rmse_random,small,FFR,7,h4q,2.1891065545192534,80
mango_rmse_random,small,FFR,7,h8q,2.141154785877021,80
paper,small,FFR,7,,2.091352155237531,80
mango_mdd,small,FFR,8,,2.341449787090988,80
mango_rmse,small,FFR,8,h1q,2.7033786450682507,80
mango_rmse,small,FFR,8,h2q,2.6699269184270853,80
mango_rmse,small,FFR,8,h4q,2.691463687303419,80
mango_rmse,small,FFR,8,h8q,2.6503327154484624,80
mango_rmse_random,small,FFR,8,h1q,2.2773473665662705,80
mango_rmse_random,small,FFR,8,h2q,2.2480993566459584,80
mango_rmse_random,small,FFR,8,h4q,2.3943720766486773,80
mango_rmse_random,small,FFR,8,h8q,2.347618211093331,80
paper,small,FFR,8,,2.2743575163747543,80
mango_mdd,small,GDP,1,,22.915135973710214,80
mango_rmse,small,GDP,1,h1q,22.92288170536736,80
mango_rmse,small,GDP,1,h2q,22.911907696431363,80
mango_rmse,small,GDP,1,h4q,22.917444864223654,80
mango_rmse,small,GDP,1,h8q,22.931958914173215,80
mango_rmse_random,small,GDP,1,h1q,22.937939850743753,80
mango_rmse_random,small,GDP,1,h2q,22.95319308719155,80
mango_rmse_random,small,GDP,1,h4q,22.948452907046793,80
mango_rmse_random,small,GDP,1,h8q,22.963531057075613,80
paper,small,GDP,1,,22.916916840203548,80
mango_mdd,small,GDP,2,,22.59759612117839,80
mango_rmse,small,GDP,2,h1q,22.595974432123878,80
mango_rmse,small,GDP,2,h2q,22.584971386872844,80
mango_rmse,small,GDP,2,h4q,22.595342978115035,80
mango_rmse,small,GDP,2,h8q,22.621227633768886,80
mango_rmse_random,small,GDP,2,h1q,22.646529727194036,80
mango_rmse_random,small,GDP,2,h2q,22.668411942995792,80
mango_rmse_random,small,GDP,2,h4q,22.677350796048213,80
mango_rmse_random,small,GDP,2,h8q,22.692132701673934,80
paper,small,GDP,2,,22.58953882725789,80
mango_mdd,small,GDP,3,,22.296800579973223,80
mango_rmse,small,GDP,3,h1q,22.29165515390796,80
mango_rmse,small,GDP,3,h2q,22.283525188730554,80
mango_rmse,small,GDP,3,h4q,22.30156564620284,80
mango_rmse,small,GDP,3,h8q,22.32397219696458,80
mango_rmse_random,small,GDP,3,h1q,22.359228977610663,80
mango_rmse_random,small,GDP,3,h2q,22.382887862024454,80
mango_rmse_random,small,GDP,3,h4q,22.413662209747407,80
mango_rmse_random,small,GDP,3,h8q,22.412746499051384,80
paper,small,GDP,3,,22.270142769657326,80
mango_mdd,small,GDP,4,,21.98070728182614,80
mango_rmse,small,GDP,4,h1q,21.967092826252024,80
mango_rmse,small,GDP,4,h2q,21.971716227759234,80
mango_rmse,small,GDP,4,h4q,21.999463418901232,80
mango_rmse,small,GDP,4,h8q,22.014124182882224,80
mango_rmse_random,small,GDP,4,h1q,22.04917265567985,80
mango_rmse_random,small,GDP,4,h2q,22.07322218864332,80
mango_rmse_random,small,GDP,4,h4q,22.123507772428223,80
mango_rmse_random,small,GDP,4,h8q,22.109800232491818,80
paper,small,GDP,4,,21.92841718665125,80
mango_mdd,small,GDP,5,,21.69568825872522,80
mango_rmse,small,GDP,5,h1q,21.667330722787153,80
mango_rmse,small,GDP,5,h2q,21.680498482420685,80
mango_rmse,small,GDP,5,h4q,21.723000329766105,80
mango_rmse,small,GDP,5,h8q,21.732176212775286,80
mango_rmse_random,small,GDP,5,h1q,21.754595516609232,80
mango_rmse_random,small,GDP,5,h2q,21.788700634825297,80
mango_rmse_random,small,GDP,5,h4q,21.85094103968807,80
mango_rmse_random,small,GDP,5,h8q,21.823012463731963,80
paper,small,GDP,5,,21.60984326229062,80
mango_mdd,small,GDP,6,,21.438564648225555,80
mango_rmse,small,GDP,6,h1q,21.410065381826424,80
mango_rmse,small,GDP,6,h2q,21.428886107629786,80
mango_rmse,small,GDP,6,h4q,21.483357435206234,80
mango_rmse,small,GDP,6,h8q,21.486047332005686,80
mango_rmse_random,small,GDP,6,h1q,21.49814922143507,80
mango_rmse_random,small,GDP,6,h2q,21.537382842955115,80
mango_rmse_random,small,GDP,6,h4q,21.60737229331706,80
mango_rmse_random,small,GDP,6,h8q,21.564942527756877,80
paper,small,GDP,6,,21.32403609572203,80
mango_mdd,small,GDP,7,,21.198086317215523,80
mango_rmse,small,GDP,7,h1q,21.16207512244536,80
mango_rmse,small,GDP,7,h2q,21.186193440632298,80
mango_rmse,small,GDP,7,h4q,21.254308880172974,80
mango_rmse,small,GDP,7,h8q,21.254333574188454,80
mango_rmse_random,small,GDP,7,h1q,21.24649697585047,80
mango_rmse_random,small,GDP,7,h2q,21.291686338525118,80
mango_rmse_random,small,GDP,7,h4q,21.373828175522608,80
mango_rmse_random,small,GDP,7,h8q,21.314930272121856,80
paper,small,GDP,7,,21.048561771304062,80
mango_mdd,small,GDP,8,,20.96884993595077,80
mango_rmse,small,GDP,8,h1q,20.92985937315633,80
mango_rmse,small,GDP,8,h2q,20.958296693319877,80
mango_rmse,small,GDP,8,h4q,21.0358242699371,80
mango_rmse,small,GDP,8,h8q,21.03463546017745,80
mango_rmse_random,small,GDP,8,h1q,21.012313056106667,80
mango_rmse_random,small,GDP,8,h2q,21.06552325329275,80
mango_rmse_random,small,GDP,8,h4q,21.149682674528247,80
mango_rmse_random,small,GDP,8,h8q,21.07892530862444,80
paper,small,GDP,8,,20.789897050423242,80
