forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2005-09-30,mango_rmse_random,small,2005Q2,204,0.12386254663390635,33.03008199481076,47.93680618189631
2005-12-31,mango_rmse_random,small,2005Q3,205,0.6414350077306049,44.96804129327415,46.78372866800347
2006-03-31,mango_rmse_random,small,2005Q4,206,0.011165404874338728,33.09090816271739,49.80103740890957
2006-06-30,mango_rmse_random,small,2006Q1,207,1.6278925267596842,13.314676948171597,11.665134615410933
2006-09-30,mango_rmse_random,small,2006Q2,208,0.1899064246438019,32.35587090984187,0.0008849854420795155
2006-12-31,mango_rmse_random,small,2006Q3,209,4.808585874323124,23.193441183440825,0.0700682867853688
2007-03-31,mango_rmse_random,small,2006Q4,210,4.757123266694565,0.055881231850171624,6.820356406853278
2007-06-30,mango_rmse_random,small,2007Q1,211,0.32202506461700214,36.128143781057084,21.07140658019485
2007-09-30,mango_rmse_random,small,2007Q2,212,0.012917911385060186,28.416100293569787,18.06778180439623
2007-12-31,mango_rmse_random,small,2007Q3,213,0.0967266092268566,14.467459748162685,0.024818451751878256
2008-03-31,mango_rmse_random,small,2007Q4,214,0.3873803308175077,0.06615837190294213,0.09934582070576334
2008-06-30,mango_rmse_random,small,2008Q1,215,0.17377636944284272,22.030206759107323,0.006753907850574802
2008-09-30,mango_rmse_random,small,2008Q2,216,0.8271142932747134,5.414654682533086,0.10524332434297295
2008-12-31,mango_rmse_random,small,2008Q3,217,3.357088812379355,0.6910291725849697,33.6679657948815
2009-03-31,mango_rmse_random,small,2008Q4,218,0.024024872481844504,1.501857044662147,36.10997065823011
2009-06-30,mango_rmse_random,small,2009Q1,219,0.03957817454558857,46.6390935043549,39.4619730928855
2009-09-30,mango_rmse_random,small,2009Q2,220,4.958861769745124,0.11534407063256233,31.230241880581953
2009-12-31,mango_rmse_random,small,2009Q3,221,0.007913930756066638,23.79646138498607,45.80944306457046
2010-03-31,mango_rmse_random,small,2009Q4,222,0.18860585723910192,10.495438008155112,22.918689567975157
2010-06-30,mango_rmse_random,small,2010Q1,223,1.8687637758567326,2.361355475993107,4.5948992186598066
2010-09-30,mango_rmse_random,small,2010Q2,224,0.10550045652422262,22.997178083868498,39.720114846443074
2010-12-31,mango_rmse_random,small,2010Q3,225,4.97613588366748,0.008089015655457447,26.59505675919698
2011-03-31,mango_rmse_random,small,2010Q4,226,0.0620366186162273,6.373146005724532,24.262599588369337
2011-06-30,mango_rmse_random,small,2011Q1,227,0.0866028431724522,37.6525178295422,42.53710640256312
2011-09-30,mango_rmse_random,small,2011Q2,228,3.0204357631744254,0.023535113373502704,30.680611962377284
