forecast_origin,strategy,model_size,last_quarter,n_obs,lambda,theta,miu
2010-12-31,paper,small,2010Q3,225,0.5379024243550622,0.6047337216993733,0.11751471577200383
2011-03-31,paper,small,2010Q4,226,0.5384506824930518,0.604049191969489,0.1180518906688432
2011-06-30,paper,small,2011Q1,227,0.5389130832751723,0.6051385883554737,0.11695580991896556
2011-09-30,paper,small,2011Q2,228,0.5474255496928958,0.5861610930909099,0.11569521491283538
2011-12-31,paper,small,2011Q3,229,0.5478268833172318,0.5870024311642343,0.11492433943683428
2012-03-31,paper,small,2011Q4,230,0.5464535329210938,0.5860156111965137,0.11523069644248642
2012-06-30,paper,small,2012Q1,231,0.547409907428396,0.5862335825242238,0.11502055919442314
2012-09-30,paper,small,2012Q2,232,0.541033699342475,0.5862417999833048,0.11584770070574531
2012-12-31,paper,small,2012Q3,233,0.5423716812336143,0.5900607051071703,0.1143345963432405
2013-03-31,paper,small,2012Q4,234,0.5419828061962619,0.5857587765151153,0.11578759592409803
2013-06-30,paper,small,2013Q1,235,0.5426004509937745,0.5848992979362179,0.1163935818035979
2013-09-30,paper,small,2013Q2,236,0.5530682459534975,0.5943476165821293,0.1171462528442198
2013-12-31,paper,small,2013Q3,237,0.5528465737882994,0.6003010516121475,0.11579759253389915
2014-03-31,paper,small,2013Q4,238,0.5533604020578753,0.601376111042553,0.11531609176070784
2014-06-30,paper,small,2014Q1,239,0.5515407716582365,0.5925747223765458,0.11774848189010727
2014-09-30,paper,small,2014Q2,240,0.5515764943393072,0.6007073639678182,0.11659061545533171
2014-12-31,paper,small,2014Q3,241,0.5516083805107496,0.603680985698959,0.11560250578423968
2015-03-31,paper,small,2014Q4,242,0.5505219129703307,0.6021194805503489,0.11688958862081969
2015-06-30,paper,small,2015Q1,243,0.5547712492698774,0.596036496766466,0.11936262007016939
2015-09-30,paper,small,2015Q2,244,0.550464716052887,0.5986493807705165,0.11853721413815242
2015-12-31,paper,small,2015Q3,245,0.550320276474,0.5983610395394756,0.11896386315623068
2016-03-31,paper,small,2015Q4,246,0.5501340785139504,0.5969260861091343,0.11980768110332926
2016-06-30,paper,small,2016Q1,247,0.5524943864272137,0.5924291092274478,0.12213921703256883
2016-09-30,paper,small,2016Q2,248,0.5512707154298127,0.5941924618831808,0.12100551868058482
2016-12-31,paper,small,2016Q3,249,0.5516606739543227,0.5969794850357975,0.1208045837824462
2017-03-31,paper,small,2016Q4,250,0.5505705765989729,0.5988714479158599,0.12034363528166125
2017-06-30,paper,small,2017Q1,251,0.5512697138708258,0.5980048735017786,0.12129984021882459
2017-09-30,paper,small,2017Q2,252,0.5476727480757356,0.5978224077526426,0.12256942499360701
2017-12-31,paper,small,2017Q3,253,0.5473377937224256,0.5997181246869296,0.12227748669799396
2018-03-31,paper,small,2017Q4,254,0.5478627697474492,0.6018202319307293,0.12156783371124456
2018-06-30,paper,small,2018Q1,255,0.5482587227398116,0.6020132542002014,0.12224163844910949
2018-09-30,paper,small,2018Q2,256,0.554992116402805,0.6153914991544924,0.12086400123569577
2018-12-31,paper,small,2018Q3,257,0.5530077238611016,0.616381201731048,0.1223447557644744
2019-03-31,paper,small,2018Q4,258,0.5536037037178747,0.616601246927027,0.12393904111720695
2019-06-30,paper,small,2019Q1,259,0.5526760529438027,0.6167367729292799,0.1262912447784154
2019-09-30,paper,small,2019Q2,260,0.5546327092362394,0.619348435546772,0.12526516526999015
2019-12-31,paper,small,2019Q3,261,0.5549217499721394,0.6204904791883347,0.125718575465402
